instances\map1\map1_10_0.txt,290,
instances\map1\map1_10_1.txt,99999,
instances\map1\map1_10_10.txt,360,
instances\map1\map1_10_100.txt,260,
instances\map1\map1_10_101.txt,280,
instances\map1\map1_10_102.txt,330,
instances\map1\map1_10_103.txt,320,
instances\map1\map1_10_104.txt,270,
instances\map1\map1_10_105.txt,99999,
instances\map1\map1_10_106.txt,270,
instances\map1\map1_10_107.txt,340,
instances\map1\map1_10_108.txt,300,
instances\map1\map1_10_109.txt,350,
instances\map1\map1_10_11.txt,340,
instances\map1\map1_10_110.txt,260,
instances\map1\map1_10_111.txt,320,
instances\map1\map1_10_112.txt,300,
instances\map1\map1_10_113.txt,340,
instances\map1\map1_10_114.txt,310,
instances\map1\map1_10_115.txt,270,
instances\map1\map1_10_116.txt,99999,
instances\map1\map1_10_117.txt,350,
instances\map1\map1_10_118.txt,430,
instances\map1\map1_10_119.txt,99999,
instances\map1\map1_10_12.txt,270,
instances\map1\map1_10_120.txt,410,
instances\map1\map1_10_121.txt,390,
instances\map1\map1_10_122.txt,310,
instances\map1\map1_10_123.txt,310,
instances\map1\map1_10_124.txt,280,
instances\map1\map1_10_125.txt,300,
instances\map1\map1_10_126.txt,370,
instances\map1\map1_10_127.txt,300,
instances\map1\map1_10_128.txt,410,
instances\map1\map1_10_129.txt,290,
instances\map1\map1_10_13.txt,300,
instances\map1\map1_10_130.txt,270,
instances\map1\map1_10_131.txt,310,
instances\map1\map1_10_132.txt,280,
instances\map1\map1_10_133.txt,320,
instances\map1\map1_10_134.txt,290,
instances\map1\map1_10_135.txt,99999,
instances\map1\map1_10_136.txt,280,
instances\map1\map1_10_137.txt,350,
instances\map1\map1_10_138.txt,380,
instances\map1\map1_10_139.txt,280,
instances\map1\map1_10_14.txt,730,
instances\map1\map1_10_140.txt,270,
instances\map1\map1_10_141.txt,350,
instances\map1\map1_10_142.txt,330,
instances\map1\map1_10_143.txt,310,
instances\map1\map1_10_144.txt,290,
instances\map1\map1_10_145.txt,320,
instances\map1\map1_10_146.txt,330,
instances\map1\map1_10_147.txt,300,
instances\map1\map1_10_148.txt,380,
instances\map1\map1_10_149.txt,290,
instances\map1\map1_10_15.txt,330,
instances\map1\map1_10_150.txt,360,
instances\map1\map1_10_151.txt,300,
instances\map1\map1_10_152.txt,350,
instances\map1\map1_10_153.txt,350,
instances\map1\map1_10_154.txt,330,
instances\map1\map1_10_155.txt,260,
instances\map1\map1_10_156.txt,270,
instances\map1\map1_10_157.txt,280,
instances\map1\map1_10_158.txt,370,
instances\map1\map1_10_159.txt,290,
instances\map1\map1_10_16.txt,290,
instances\map1\map1_10_160.txt,99999,
instances\map1\map1_10_161.txt,290,
instances\map1\map1_10_162.txt,280,
instances\map1\map1_10_163.txt,280,
instances\map1\map1_10_164.txt,270,
