map_id,trip durations,trip lengths
instances\map3\map3_18_2.txt,999999
instances\map3\map3_18_20.txt,999999
instances\map3\map3_18_21.txt,999999
instances\map3\map3_18_22.txt,999999
instances\map3\map3_18_23.txt,999999
instances\map3\map3_18_24.txt,999999
instances\map3\map3_18_25.txt,999999
instances\map3\map3_18_26.txt,999999
instances\map3\map3_18_27.txt,999999
instances\map3\map3_18_28.txt,999999
instances\map3\map3_18_29.txt,999999
instances\map3\map3_18_3.txt,999999
instances\map3\map3_18_30.txt,999999
instances\map3\map3_18_31.txt,999999
instances\map3\map3_18_32.txt,514,496
instances\map3\map3_18_33.txt,999999
instances\map3\map3_18_34.txt,999999
instances\map3\map3_18_35.txt,999999
instances\map3\map3_18_36.txt,999999
instances\map3\map3_18_37.txt,999999
instances\map3\map3_18_38.txt,999999
instances\map3\map3_18_39.txt,999999
instances\map3\map3_18_4.txt,511,486
instances\map3\map3_18_40.txt,999999
instances\map3\map3_18_41.txt,529,498
instances\map3\map3_18_42.txt,504,480
instances\map3\map3_18_43.txt,499,480
instances\map3\map3_18_44.txt,999999
instances\map3\map3_18_45.txt,999999
instances\map3\map3_18_46.txt,999999
instances\map3\map3_18_47.txt,999999
instances\map3\map3_18_48.txt,999999
instances\map3\map3_18_49.txt,999999
instances\map3\map3_18_5.txt,999999
instances\map3\map3_18_50.txt,999999
instances\map3\map3_18_51.txt,999999
instances\map3\map3_18_52.txt,999999
instances\map3\map3_18_53.txt,999999
instances\map3\map3_18_54.txt,999999
instances\map3\map3_18_55.txt,999999
instances\map3\map3_18_56.txt,999999
instances\map3\map3_18_57.txt,507,480
instances\map3\map3_18_58.txt,999999
instances\map3\map3_18_59.txt,999999
instances\map3\map3_18_6.txt,999999
instances\map3\map3_18_60.txt,999999
instances\map3\map3_18_61.txt,505,484
instances\map3\map3_18_62.txt,999999
instances\map3\map3_18_63.txt,999999
instances\map3\map3_18_64.txt,999999
instances\map3\map3_18_65.txt,999999
instances\map3\map3_18_66.txt,999999
instances\map3\map3_18_67.txt,999999
instances\map3\map3_18_68.txt,999999
instances\map3\map3_18_69.txt,999999
instances\map3\map3_18_7.txt,999999
instances\map3\map3_18_70.txt,999999
instances\map3\map3_18_71.txt,999999
instances\map3\map3_18_72.txt,999999
instances\map3\map3_18_73.txt,521,494
instances\map3\map3_18_74.txt,999999
instances\map3\map3_18_8.txt,505,490
instances\map3\map3_18_9.txt,518,494
instances\map3\map3_6_0.txt,166,160
instances\map3\map3_6_1.txt,161,158
instances\map3\map3_6_10.txt,162,158
instances\map3\map3_6_11.txt,161,160
instances\map3\map3_6_12.txt,154,150
instances\map3\map3_6_13.txt,164,160
instances\map3\map3_6_14.txt,153,152
instances\map3\map3_6_15.txt,153,152
instances\map3\map3_6_16.txt,162,159
instances\map3\map3_6_17.txt,155,151
instances\map3\map3_6_18.txt,157,154
instances\map3\map3_6_19.txt,169,168
instances\map3\map3_6_2.txt,159,158
instances\map3\map3_6_20.txt,164,162
instances\map3\map3_6_21.txt,164,159
instances\map3\map3_6_22.txt,157,154
instances\map3\map3_6_23.txt,157,157
instances\map3\map3_6_24.txt,156,155
instances\map3\map3_6_25.txt,156,154
instances\map3\map3_6_26.txt,161,161
instances\map3\map3_6_27.txt,153,151
instances\map3\map3_6_28.txt,154,153
instances\map3\map3_6_29.txt,160,159
instances\map3\map3_6_3.txt,167,162
instances\map3\map3_6_30.txt,161,159
instances\map3\map3_6_31.txt,167,165
instances\map3\map3_6_32.txt,167,164
instances\map3\map3_6_33.txt,155,152
instances\map3\map3_6_34.txt,158,154
instances\map3\map3_6_35.txt,161,161
instances\map3\map3_6_36.txt,159,158
instances\map3\map3_6_37.txt,158,158
instances\map3\map3_6_38.txt,160,155
instances\map3\map3_6_39.txt,160,160
instances\map3\map3_6_4.txt,160,160
instances\map3\map3_6_40.txt,162,162
instances\map3\map3_6_41.txt,165,164
instances\map3\map3_6_42.txt,156,156
instances\map3\map3_6_43.txt,160,159
instances\map3\map3_6_44.txt,165,160
instances\map3\map3_6_45.txt,155,154
instances\map3\map3_6_46.txt,164,161
instances\map3\map3_6_47.txt,162,161
instances\map3\map3_6_48.txt,155,155
instances\map3\map3_6_49.txt,156,154
instances\map3\map3_6_5.txt,158,157
instances\map3\map3_6_50.txt,158,156
instances\map3\map3_6_51.txt,163,162
instances\map3\map3_6_52.txt,160,158
instances\map3\map3_6_53.txt,164,162
instances\map3\map3_6_54.txt,158,155
instances\map3\map3_6_55.txt,159,158
instances\map3\map3_6_56.txt,162,157
instances\map3\map3_6_57.txt,155,152
instances\map3\map3_6_58.txt,167,165
instances\map3\map3_6_59.txt,171,165
instances\map3\map3_6_6.txt,165,163
instances\map3\map3_6_60.txt,170,167
instances\map3\map3_6_61.txt,160,157
instances\map3\map3_6_62.txt,168,166
instances\map3\map3_6_63.txt,169,167
instances\map3\map3_6_64.txt,161,158
instances\map3\map3_6_65.txt,154,152
instances\map3\map3_6_66.txt,171,166
instances\map3\map3_6_67.txt,158,158
instances\map3\map3_6_68.txt,163,161
instances\map3\map3_6_69.txt,164,164
instances\map3\map3_6_7.txt,160,158
instances\map3\map3_6_70.txt,161,158
instances\map3\map3_6_71.txt,171,167
instances\map3\map3_6_72.txt,149,149
instances\map3\map3_6_73.txt,159,157
instances\map3\map3_6_74.txt,168,164
instances\map3\map3_6_8.txt,162,161
instances\map3\map3_6_9.txt,156,156
