map_id,trip durations,trip lengths,runtime[s],duration/len(a*)
instances\experiment2_dis1\map1_10_1000.txt,285,248,0.1345072,1.0-1.2692307692307692-1.0-1.1111111111111112-1.0-1.0476190476190477-1.0869565217391304-1.5217391304347827-1.8-1.565217391304348
instances\experiment2_dis1\map1_10_1001.txt,251,238,0.1038705,1.0-1.380952380952381-1.0-1.16-1.1666666666666667-1.0-1.0-1.45-1.0-1.0
instances\experiment2_dis1\map1_10_1002.txt,238,232,0.1812889,1.0-1.0909090909090908-1.0357142857142858-1.1153846153846154-1.0-1.0-1.0476190476190477-1.0-1.1363636363636365-1.0
instances\experiment2_dis1\map1_10_1003.txt,261,252,0.0975102,1.1818181818181819-1.1818181818181819-1.0833333333333333-1.12-1.0-1.2380952380952381-1.0-1.0909090909090908-1.0-1.16
instances\experiment2_dis1\map1_10_1004.txt,237,234,0.1476052,1.0-1.0-1.0-1.0-1.08-1.0-1.0-1.0-1.037037037037037-1.0
instances\experiment2_dis1\map1_10_1005.txt,252,232,0.1475744,1.0-1.0-1.1363636363636365-1.0-1.0-1.1111111111111112-1.08-1.5-1.1304347826086956-1.0434782608695652
instances\experiment2_dis1\map1_10_1006.txt,360,346,0.3312418,1.1363636363636365-1.0-3.0-1.1904761904761905-1.08-1.125-3.391304347826087-1.0434782608695652-1.16-1.2857142857142858
instances\experiment2_dis1\map1_10_1007.txt,252,242,0.0637563,1.0384615384615385-1.0-1.0-1.0-1.0454545454545454-1.12-1.1923076923076923-1.1923076923076923-1.0-1.0
instances\experiment2_dis1\map1_10_1008.txt,237,231,0.1075174,1.0-1.0-1.1904761904761905-1.1904761904761905-1.0-1.0-1.0434782608695652-1.25-1.0416666666666667-1.0909090909090908
instances\experiment2_dis1\map1_10_1009.txt,229,225,0.1780775,1.0476190476190477-1.0454545454545454-1.0-1.0-1.1428571428571428-1.0-1.0-1.0-1.0-1.0434782608695652
instances\experiment2_dis1\map1_10_1010.txt,259,252,0.039797,1.0434782608695652-1.0-1.0-1.0-1.08-1.1111111111111112-1.0-1.0-1.0833333333333333-1.0
instances\experiment2_dis1\map1_10_1011.txt,236,234,0.0556407,1.0-1.0-1.0434782608695652-1.0-1.0-1.1538461538461537-1.0-1.0-1.28-1.0
instances\experiment2_dis1\map1_10_1012.txt,222,214,0.3071498,1.0-1.1904761904761905-1.0-1.0454545454545454-1.1363636363636365-1.0-1.0-1.0476190476190477-1.0-1.0454545454545454
instances\experiment2_dis1\map1_10_1013.txt,257,245,0.1667749,1.0476190476190477-1.3333333333333333-1.0-1.25-1.0-1.12-1.0769230769230769-1.0-1.0-1.2608695652173914
instances\experiment2_dis1\map1_10_1014.txt,265,248,0.1613178,1.7142857142857142-1.1428571428571428-1.0-1.0476190476190477-1.0-1.0-1.0-1.5454545454545454-1.565217391304348-1.0
instances\experiment2_dis1\map1_10_1015.txt,226,223,0.1600201,1.0909090909090908-1.0-1.0-1.0-1.0869565217391304-1.0454545454545454-1.0-1.0-1.0-1.0
instances\experiment2_dis1\map1_10_1016.txt,252,244,0.2326,1.12-1.0-1.0-1.0-1.0-1.0-1.1304347826086956-1.25-1.0-1.0
instances\experiment2_dis1\map1_10_1017.txt,253,233,0.136932,1.28-1.0-1.0454545454545454-1.5238095238095237-1.1428571428571428-1.0-1.0476190476190477-1.0833333333333333-1.0454545454545454-1.0
instances\experiment2_dis1\map1_10_1018.txt,261,241,0.1804082,1.0-1.434782608695652-1.0-1.2222222222222223-1.24-1.0-1.037037037037037-1.0-1.0416666666666667-1.0
instances\experiment2_dis1\map1_10_1019.txt,243,239,0.0774661,1.037037037037037-1.0454545454545454-1.0-1.0-1.0-1.1111111111111112-1.0-1.0-1.0-1.0
instances\experiment2_dis1\map1_10_1020.txt,262,247,0.1751913,1.0-1.0-1.0384615384615385-1.0-1.2916666666666667-1.0454545454545454-1.0-1.0714285714285714-1.0-1.5238095238095237
instances\experiment2_dis1\map1_10_1021.txt,234,230,0.1106015,1.0909090909090908-1.0416666666666667-1.0-1.0-1.0-1.0-1.0476190476190477-1.0-1.0-1.0
instances\experiment2_dis1\map1_10_1022.txt,264,242,0.2835925,1.4285714285714286-1.0740740740740742-1.0-1.0-1.3478260869565217-1.04-1.0769230769230769-1.0909090909090908-1.0869565217391304-1.35
