map_id,trip durations,trip lengths,runtime[s],duration/len(a*)
instances\experiment2_cbs2\map1_10_1070.txt,243,243,0.0387887,1.0-1.04-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_1071.txt,230,229,0.0923373,1.0-1.0-1.0476190476190477-1.0-1.0434782608695652-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_1072.txt,240,239,0.5490578,1.0454545454545454-1.0-1.0869565217391304-1.0-1.0-1.0-1.0-1.037037037037037-1.0-1.0
instances\experiment2_cbs2\map1_10_1073.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1074.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1075.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1076.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1077.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1078.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1079.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1080.txt,245,244,0.0943655,1.0-1.0-1.0-1.0454545454545454-1.0-1.0-1.0-1.0-1.0-1.0357142857142858
instances\experiment2_cbs2\map1_10_1081.txt,232,230,1.3980913,1.0-1.0-1.0434782608695652-1.0-1.0-1.0-1.0476190476190477-1.0-1.0-1.0476190476190477
instances\experiment2_cbs2\map1_10_1082.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1083.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1084.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1085.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1086.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1087.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1088.txt,239,239,0.8675551,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_1089.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1090.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1091.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1092.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1093.txt,233,232,0.1657083,1.0-1.0-1.0416666666666667-1.0-1.0-1.0-1.0-1.0-1.0454545454545454-1.0
instances\experiment2_cbs2\map1_10_1094.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1095.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1096.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1097.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1098.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1099.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1100.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1101.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1102.txt,999999,999999,999999,999999
