map_id,trip durations,trip lengths,runtime[s],duration/len(a*)
instances\experiment2_prio\map1_10_1072.txt,247,245,0.0351798,1.0-1.0-1.0-1.0476190476190477-1.0-1.0-1.0-1.0-1.0740740740740742-1.0
instances\experiment2_prio\map1_10_1073.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1074.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1075.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1076.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1077.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1078.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1079.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1080.txt,258,252,0.0938858,1.0-1.0-1.0-1.0833333333333333-1.0416666666666667-1.1153846153846154-1.0-1.0-1.1304347826086956-1.08
instances\experiment2_prio\map1_10_1081.txt,230,228,0.0668836,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0909090909090908-1.0
instances\experiment2_prio\map1_10_1082.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1083.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1084.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1085.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1086.txt,247,244,0.046838,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.1428571428571428-1.0909090909090908-1.2173913043478262
instances\experiment2_prio\map1_10_1087.txt,241,235,0.0383652,1.0-1.0-1.0454545454545454-1.0-1.0-1.037037037037037-1.05-1.0909090909090908-1.0454545454545454-1.1363636363636365
instances\experiment2_prio\map1_10_1088.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1089.txt,251,249,0.0511672,1.0-1.0-1.0-1.0416666666666667-1.0-1.0-1.0416666666666667-1.0434782608695652-1.0-1.0
instances\experiment2_prio\map1_10_1090.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1091.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1092.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1093.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1094.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1095.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1096.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1097.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1098.txt,236,229,0.0237502,1.0-1.0-1.0-1.0434782608695652-1.0454545454545454-1.0-1.1428571428571428-1.0869565217391304-1.0476190476190477-1.0454545454545454
instances\experiment2_prio\map1_10_1099.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1100.txt,256,248,0.0339395,1.0-1.0-1.0-1.0-1.0476190476190477-1.0-1.0-1.0769230769230769-1.1304347826086956-1.173913043478261
instances\experiment2_prio\map1_10_1101.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1102.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1103.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1104.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1105.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1106.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1107.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1108.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1109.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1110.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1111.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1112.txt,233,233,0.0416884,1.0-1.0-1.0-1.0-1.0-1.0-1.037037037037037-1.0-1.0-1.0
instances\experiment2_prio\map1_10_1113.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1114.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1115.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1116.txt,222,221,0.0756405,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.04-1.0-1.0476190476190477
instances\experiment2_prio\map1_10_1117.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1118.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1119.txt,273,266,0.1089663,1.0-1.0-1.0-1.0869565217391304-1.0-1.3333333333333333-1.04-1.0740740740740742-1.0384615384615385-1.3636363636363635
instances\experiment2_prio\map1_10_1120.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1121.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1122.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1123.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1124.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1125.txt,231,229,0.0582349,1.0-1.0-1.0-1.0-1.0909090909090908-1.0454545454545454-1.0-1.0-1.0-1.0454545454545454
instances\experiment2_prio\map1_10_1126.txt,244,239,0.0692951,1.0-1.0-1.0434782608695652-1.0454545454545454-1.125-1.0416666666666667-1.0-1.0-1.0-1.0952380952380953
instances\experiment2_prio\map1_10_1127.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1128.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1129.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1130.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1131.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1132.txt,237,231,0.0235235,1.0-1.0-1.0-1.0-1.0434782608695652-1.0-1.0869565217391304-1.0952380952380953-1.0833333333333333-1.0416666666666667
instances\experiment2_prio\map1_10_1133.txt,999999,999999,999999,999999
