map_id,trip durations,trip lengths,runtime[s],duration/len(a*)
instances\experiment2_cbs3\map1_10_1229.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1230.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1231.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1232.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1233.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1234.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1235.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1236.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1237.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1238.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1239.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1240.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1241.txt,233,231,1.4004552,1.0-1.0-1.0-1.0384615384615385-1.0-1.0416666666666667-1.0416666666666667-1.0-1.0-1.0
instances\experiment2_cbs3\map1_10_1242.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1243.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1244.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1245.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1246.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1247.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1248.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1249.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1250.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1251.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1252.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1253.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1254.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1255.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1256.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1257.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1258.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1259.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1260.txt,227,225,0.6064663,1.15-1.04-1.0-1.0-1.0-1.0-1.0476190476190477-1.0-1.0-1.0
instances\experiment2_cbs3\map1_10_1261.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1262.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1263.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1264.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1265.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1266.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1267.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1268.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1269.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1270.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1271.txt,239,238,0.0245826,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0357142857142858-1.0
instances\experiment2_cbs3\map1_10_1272.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1273.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1274.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1275.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1276.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1277.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1278.txt,237,236,1.4083672,1.0-1.0-1.0454545454545454-1.0-1.0-1.0-1.04-1.0-1.0-1.0
instances\experiment2_cbs3\map1_10_1279.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1280.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1281.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1282.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1283.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1284.txt,242,240,0.6620089,1.0-1.0-1.0-1.0434782608695652-1.0416666666666667-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs3\map1_10_1285.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1286.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1287.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1288.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1289.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1290.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1291.txt,242,242,0.9471299,1.0-1.0-1.0-1.0-1.0-1.0909090909090908-1.0-1.0-1.0-1.0
instances\experiment2_cbs3\map1_10_1292.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1293.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1294.txt,219,216,0.132147,1.05-1.05-1.0-1.0454545454545454-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs3\map1_10_1295.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1296.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1297.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1298.txt,230,229,0.4939937,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0476190476190477-1.0454545454545454
instances\experiment2_cbs3\map1_10_1299.txt,236,236,0.0716593,1.0-1.0-1.0416666666666667-1.0-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs3\map1_10_1300.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1301.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1302.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1303.txt,232,230,0.4376864,1.0869565217391304-1.0-1.0-1.0-1.0-1.0-1.0384615384615385-1.0-1.0-1.0
instances\experiment2_cbs3\map1_10_1304.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1305.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1306.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1307.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1308.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1309.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1310.txt,232,230,0.41086,1.0-1.0-1.0384615384615385-1.0-1.0-1.0-1.0-1.0-1.0434782608695652-1.0416666666666667
instances\experiment2_cbs3\map1_10_1311.txt,242,239,1.1905404,1.0-1.0357142857142858-1.0-1.0-1.0-1.0434782608695652-1.0-1.0434782608695652-1.0454545454545454-1.0
instances\experiment2_cbs3\map1_10_1312.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1313.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1314.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1315.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1316.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1317.txt,218,216,0.568153,1.0-1.0-1.0476190476190477-1.0-1.0-1.0434782608695652-1.0-1.0-1.0-1.0
instances\experiment2_cbs3\map1_10_1318.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1319.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1320.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1321.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1322.txt,229,229,0.1081042,1.0-1.0-1.0-1.0-1.0-1.0434782608695652-1.0-1.0-1.0-1.0
instances\experiment2_cbs3\map1_10_1323.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1324.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1150.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1151.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1152.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1153.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1154.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1155.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1156.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1157.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1158.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1159.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1160.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1161.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1162.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1163.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1164.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1165.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1166.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1167.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1168.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1169.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1170.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1171.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1172.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1173.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1174.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1175.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1176.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1177.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1178.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1179.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1180.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1181.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1182.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1183.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1184.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1185.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1186.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1187.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1188.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1189.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1190.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1191.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1192.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1193.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1194.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1195.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1196.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1197.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1198.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1199.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1200.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1201.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1202.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1203.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1204.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1205.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1206.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1207.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1208.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1209.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1210.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1211.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1212.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1213.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1214.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1215.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1216.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1217.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1218.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1219.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1220.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1221.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1222.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1223.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1224.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1225.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1226.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1227.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1228.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1229.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1230.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1231.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1232.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1233.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1234.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1235.txt,276,273,0.3256091,1.0-1.0357142857142858-1.0434782608695652-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0769230769230769-1.0
instances\experiment2_cbs3\map1_12_1236.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1237.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1238.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1239.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1240.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1241.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1242.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1243.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1244.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1245.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1246.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1247.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1248.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1249.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1250.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1251.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1252.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1253.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1254.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1255.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1256.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1257.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1258.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1259.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1260.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1261.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1262.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1263.txt,274,274,0.2205007,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs3\map1_12_1264.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1265.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1266.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1267.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1268.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1269.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1270.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1271.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1272.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1273.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1274.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1275.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1276.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1277.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1278.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1279.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1280.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1281.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1282.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1283.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1284.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1285.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1286.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1287.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1288.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1289.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1290.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1291.txt,283,281,0.5206425,1.0416666666666667-1.0-1.0-1.0-1.0-1.0454545454545454-1.0454545454545454-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs3\map1_12_1292.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1293.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1294.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1295.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1296.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1297.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1298.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1299.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1300.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1301.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1302.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1303.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1304.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1305.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1306.txt,284,282,0.4937925,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0454545454545454-1.0-1.0-1.0-1.0909090909090908
instances\experiment2_cbs3\map1_12_1307.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1308.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1309.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1310.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1311.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1312.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1313.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1314.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1315.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1316.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1317.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1318.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1319.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1320.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1321.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_12_1322.txt,999999,999999,999999,999999
